Code,종목명,섹터,DIV,DPS,PER,ROE,종가,시총_억,평가
348950,제이알글로벌리츠,부동산,26.23,310.0,5.52,1.35,1182,2333,◎ 초고배당(26.2%)
432320,KB스타리츠,부동산,21.39,312.0,-1.34,-7.28,1459,2200,◎ 초고배당(21.4%)
017800,현대엘리베이터,기계,19.51,14010.0,11.03,20.11,71800,28068,◎ 초고배당(19.5%)
381970,케이카,자동차,14.49,1200.0,8.62,22.63,8280,4042,◎ 초고배당(14.5%)
377190,디앤디플랫폼리츠,부동산,11.88,240.0,29.28,1.67,2020,1786,◎ 초고배당(11.9%)
016450,한세예스24홀딩스,"섬유,의류,신발,호화품",11.53,500.0,-7.9,-6.86,4335,1734,◎ 초고배당(11.5%)
400760,NH올원리츠,부동산,10.62,316.0,372.5,0.72,2980,1637,◎ 초고배당(10.6%)
092790,넥스틸,철강,10.41,1155.0,15.36,7.76,11090,2884,◎ 초고배당(10.4%)
088260,이리츠코크렙,부동산,10.06,350.0,15.82,3.17,3480,2204,◎ 초고배당(10.1%)
334890,이지스밸류플러스리츠,부동산,9.38,330.0,18.5,2.89,3515,2441,◎ 초고배당(9.4%)
