Code,종목명,섹터,DIV,DPS,PER,ROE,종가,시총_억,평가
348950,제이알글로벌리츠,부동산,26.23,310.0,5.52,1.35,1182,2333,◎ 초고배당(26.2%)
432320,KB스타리츠,부동산,23.93,312.0,-1.2,-7.28,1304,1966,◎ 초고배당(23.9%)
017800,현대엘리베이터,기계,20.69,14010.0,10.4,20.11,67700,26466,◎ 초고배당(20.7%)
381970,케이카,자동차,16.42,1200.0,7.61,22.63,7310,3569,◎ 초고배당(16.4%)
088260,이리츠코크렙,부동산,11.89,350.0,13.39,3.17,2945,1865,◎ 초고배당(11.9%)
377190,디앤디플랫폼리츠,부동산,11.71,240.0,29.71,1.67,2050,1812,◎ 초고배당(11.7%)
016450,한세예스24홀딩스,"섬유,의류,신발,호화품",11.53,500.0,-7.9,-6.86,4335,1734,◎ 초고배당(11.5%)
092790,넥스틸,철강,10.8,1155.0,14.81,7.76,10690,2780,◎ 초고배당(10.8%)
400760,NH올원리츠,부동산,10.71,316.0,369.38,0.72,2955,1623,◎ 초고배당(10.7%)
334890,이지스밸류플러스리츠,부동산,9.87,330.0,8.79,2.89,3340,2320,◎ 초고배당(9.9%)
