Code,종목명,매수일,매도일,매수가,매도가,수익률(%)
005935,삼성전자우,2025-09-15,2025-09-22,61900,66700,7.75
005380,현대차,2025-10-20,2025-10-27,248000,254500,2.62
005380,현대차,2025-12-08,2025-12-15,315500,293500,-6.97
005380,현대차,2026-01-08,2026-01-15,340500,422000,23.94
009150,삼성전기,2026-01-08,2026-01-15,272000,289500,6.43
034020,두산에너빌리티,2026-04-15,2026-04-22,104200,115900,11.23
329180,HD현대중공업,2025-11-24,2025-12-01,552000,515000,-6.7
329180,HD현대중공업,2026-01-08,2026-01-15,582000,631000,8.42
329180,HD현대중공업,2026-04-22,2026-04-29,641000,690000,7.64
207940,삼성바이오로직스,2026-01-08,2026-01-15,1885000,1965000,4.24
207940,삼성바이오로직스,2026-04-15,2026-04-22,1602000,1561000,-2.56
000270,기아,2025-12-08,2025-12-15,125600,124000,-1.27
000270,기아,2026-01-08,2026-01-15,124900,152500,22.1
000270,기아,2026-05-08,2026-05-15,164500,168000,2.13
028260,삼성물산,2026-01-08,2026-01-15,270500,286000,5.73
012450,한화에어로스페이스,2026-03-04,2026-03-11,1323000,1410000,6.58
105560,KB금융,2026-04-15,2026-04-22,158200,157400,-0.51
267260,HD현대일렉트릭,2026-01-08,2026-01-15,862000,892000,3.48
066570,LG전자,2025-10-20,2025-10-27,91000,89000,-2.2
066570,LG전자,2026-02-12,2026-02-24,121400,134500,10.79
006800,미래에셋증권,2025-10-20,2025-10-27,25141,25688,2.18
006800,미래에셋증권,2025-12-22,2025-12-30,22900,23249,1.52
010120,LS ELECTRIC,2025-10-20,2025-10-27,63900,75000,17.37
005490,POSCO홀딩스,2026-01-15,2026-01-22,351500,359500,2.28
034730,SK,2026-01-08,2026-01-15,279500,301500,7.87
042660,한화오션,2025-10-27,2025-11-03,139700,138800,-0.64
042660,한화오션,2026-04-22,2026-04-29,135000,132300,-2.0
298040,효성중공업,2026-01-15,2026-01-22,2243000,2349000,4.73
298040,효성중공업,2026-04-15,2026-04-22,2965000,3084000,4.01
086790,하나금융지주,2025-09-15,2025-09-22,90900,90400,-0.55
086790,하나금융지주,2025-10-27,2025-11-03,87800,85600,-2.51
086790,하나금융지주,2025-11-10,2025-11-17,96200,93100,-3.22
010130,고려아연,2025-10-13,2025-10-20,1153000,1224000,6.16
051910,LG화학,2026-01-22,2026-01-29,350500,343000,-2.14
010140,삼성중공업,2026-01-15,2026-01-22,30150,30100,-0.17
015760,한국전력,2025-10-20,2025-10-27,42200,43000,1.9
000810,삼성화재,2026-04-15,2026-04-22,486000,461500,-5.04
316140,우리금융지주,2025-11-10,2025-11-17,26200,26500,1.15
316140,우리금융지주,2026-01-22,2026-01-29,29100,30500,4.81
017670,SK텔레콤,2025-11-24,2025-12-01,54100,53500,-1.11
267250,HD현대,2026-01-15,2026-01-22,235000,243000,3.4
267250,HD현대,2026-02-12,2026-02-24,261000,295500,13.22
003670,포스코퓨처엠,2025-12-08,2025-12-15,220500,227000,2.95
003670,포스코퓨처엠,2026-01-22,2026-01-29,217000,235000,8.29
096770,SK이노베이션,2025-10-20,2025-10-27,119200,131300,10.15
096770,SK이노베이션,2026-01-22,2026-01-29,112200,113500,1.16
272210,한화시스템,2025-12-15,2025-12-22,52700,56800,7.78
035720,카카오,2026-03-04,2026-03-11,47050,50900,8.18
003550,LG,2025-10-20,2025-10-27,76900,83100,8.06
011200,HMM,2026-01-22,2026-01-29,20550,20400,-0.73
079550,LIG디펜스앤에어로스페이스,2026-02-24,2026-03-04,521000,619000,18.81
086280,현대글로비스,2025-12-08,2025-12-15,182100,182500,0.22
307950,현대오토에버,2025-12-08,2025-12-15,302000,292500,-3.15
011070,LG이노텍,2026-03-25,2026-04-01,313000,343000,9.58
000720,현대건설,2026-04-08,2026-04-15,188700,179100,-5.09
024110,기업은행,2025-09-15,2025-09-22,19990,19760,-1.15
024110,기업은행,2025-11-10,2025-11-17,20150,20500,1.74
047810,한국항공우주,2025-11-03,2025-11-10,108900,101200,-7.07
047810,한국항공우주,2025-11-17,2025-11-24,111200,103900,-6.56
278470,에이피알,2025-09-29,2025-10-13,246500,259000,5.07
278470,에이피알,2026-01-22,2026-01-29,286000,276500,-3.32
006260,LS,2025-10-20,2025-10-27,197200,215000,9.03
006260,LS,2026-02-12,2026-02-24,250500,282500,12.77
006260,LS,2026-04-15,2026-04-22,343500,355000,3.35
018260,삼성에스디에스,2026-04-15,2026-04-22,178600,180100,0.84
071050,한국금융지주,2025-09-15,2025-09-22,159000,158000,-0.63
071050,한국금융지주,2025-10-20,2025-10-27,175700,176500,0.46
047050,포스코인터내셔널,2026-01-15,2026-01-22,57700,62700,8.67
010950,S-Oil,2025-09-29,2025-10-13,64800,66200,2.16
010950,S-Oil,2026-01-15,2026-01-22,91800,98500,7.3
0126Z0,삼성에피스홀딩스,2026-02-24,2026-03-04,674000,525000,-22.11
0126Z0,삼성에피스홀딩스,2026-04-15,2026-04-22,607000,562000,-7.41
047040,대우건설,2026-01-15,2026-01-22,3970,4970,25.19
005940,NH투자증권,2025-09-15,2025-09-22,21650,20650,-4.62
005940,NH투자증권,2025-10-20,2025-10-27,21400,20700,-3.27
005940,NH투자증권,2026-01-15,2026-01-22,22250,22850,2.7
001440,대한전선,2025-10-13,2025-10-20,18140,17830,-1.71
001440,대한전선,2025-12-15,2025-12-22,24400,23350,-4.3
001440,대한전선,2026-04-15,2026-04-22,41250,41050,-0.48
016360,삼성증권,2025-10-20,2025-10-27,79000,78600,-0.51
003230,삼양식품,2026-01-29,2026-02-05,1216000,1076000,-11.51
352820,하이브,2025-10-27,2025-11-03,309500,342500,10.66
352820,하이브,2025-12-15,2025-12-22,301000,309000,2.66
039490,키움증권,2025-10-27,2025-11-03,294500,304000,3.23
039490,키움증권,2026-04-15,2026-04-22,466000,444000,-4.72
000880,한화,2025-10-27,2025-11-03,107200,97800,-8.77
000880,한화,2026-01-08,2026-01-15,87100,136500,56.72
000880,한화,2026-02-24,2026-03-04,132000,113300,-14.17
028050,삼성E&A,2026-03-25,2026-04-01,33700,37900,12.46
443060,HD현대마린솔루션,2025-10-13,2025-10-20,239500,228000,-4.8
003490,대한항공,2026-05-08,2026-05-15,27050,26050,-3.7
007660,이수페타시스,2026-01-29,2026-02-05,117900,120000,1.78
064400,LG씨엔에스,2025-11-03,2025-11-10,70000,56800,-18.86
064400,LG씨엔에스,2025-12-08,2025-12-15,64200,65400,1.87
064400,LG씨엔에스,2026-04-15,2026-04-22,65700,68200,3.81
454910,두산로보틱스,2025-09-15,2025-09-22,64600,71200,10.22
062040,산일전기,2025-09-15,2025-09-22,122000,122200,0.16
062040,산일전기,2026-03-25,2026-04-01,165800,142000,-14.35
180640,한진칼,2025-09-15,2025-09-22,119400,106500,-10.8
180640,한진칼,2026-02-24,2026-03-04,161400,113000,-29.99
267270,HD건설기계,2026-02-05,2026-02-12,126900,145000,14.26
161390,한국타이어앤테크놀로지,2026-01-15,2026-01-22,61800,66800,8.09
326030,SK바이오팜,2025-10-27,2025-11-03,115200,118700,3.04
090430,아모레퍼시픽,2025-09-15,2025-09-22,122500,124200,1.39
090430,아모레퍼시픽,2025-11-03,2025-11-10,120200,126100,4.91
090430,아모레퍼시픽,2026-01-22,2026-01-29,126700,139500,10.1
090430,아모레퍼시픽,2026-04-29,2026-05-08,141400,129400,-8.49
000990,DB하이텍,2025-11-17,2025-11-24,70400,60800,-13.64
000990,DB하이텍,2026-04-08,2026-04-15,94400,98600,4.45
034220,LG디스플레이,2026-02-24,2026-03-04,14060,11000,-21.76
034220,LG디스플레이,2026-04-15,2026-04-22,13600,15480,13.82
009830,한화솔루션,2025-09-15,2025-09-22,30650,29700,-3.1
009830,한화솔루션,2025-10-27,2025-11-03,32200,33100,2.8
009830,한화솔루션,2025-12-15,2025-12-22,27850,27450,-1.44
009830,한화솔루션,2026-01-15,2026-01-22,29600,28100,-5.07
009830,한화솔루션,2026-02-05,2026-02-12,36400,47550,30.63
032640,LG유플러스,2025-11-10,2025-11-17,16210,15580,-3.89
032640,LG유플러스,2026-01-22,2026-01-29,15380,16130,4.88
005385,현대차우,2025-12-08,2025-12-15,212500,206500,-2.82
066970,엘앤에프,2025-12-08,2025-12-15,132000,127400,-3.48
066970,엘앤에프,2026-03-25,2026-04-01,145300,147400,1.45
