Code,종목명,매수일,매도일,매수가,매도가,수익률(%)
005935,삼성전자우,2025-11-21,2025-11-28,72300,75000,3.73
005935,삼성전자우,2026-03-31,2026-04-07,114000,130900,14.82
005380,현대차,2025-11-21,2025-11-28,259500,261500,0.77
005380,현대차,2026-03-31,2026-04-07,445500,473000,6.17
373220,LG에너지솔루션,2025-11-21,2025-11-28,425500,408000,-4.11
373220,LG에너지솔루션,2025-12-29,2026-01-07,380000,370500,-2.5
373220,LG에너지솔루션,2026-01-07,2026-01-14,370500,389500,5.13
373220,LG에너지솔루션,2026-05-21,2026-05-29,401000,458000,14.21
329180,HD현대중공업,2025-12-05,2025-12-12,534000,573000,7.3
329180,HD현대중공업,2026-02-11,2026-02-23,537000,607000,13.04
329180,HD현대중공업,2026-03-31,2026-04-07,465000,470000,1.08
329180,HD현대중공업,2026-04-07,2026-04-14,470000,479000,1.91
207940,삼성바이오로직스,2025-11-28,2025-12-05,1607000,1641000,2.12
207940,삼성바이오로직스,2025-12-05,2025-12-12,1641000,1692000,3.11
207940,삼성바이오로직스,2026-02-04,2026-02-11,1759000,1712000,-2.67
207940,삼성바이오로직스,2026-05-07,2026-05-14,1468000,1449000,-1.29
207940,삼성바이오로직스,2026-05-14,2026-05-21,1449000,1395000,-3.73
207940,삼성바이오로직스,2026-06-08,2026-06-15,1243000,1332000,7.16
034020,두산에너빌리티,2025-11-21,2025-11-28,73100,76400,4.51
034020,두산에너빌리티,2026-05-29,2026-06-08,105600,85800,-18.75
034020,두산에너빌리티,2026-06-08,2026-06-15,85800,99800,16.32
000270,기아,2026-04-07,2026-04-14,150800,149200,-1.06
012450,한화에어로스페이스,2025-11-21,2025-11-28,869000,852000,-1.96
012450,한화에어로스페이스,2025-11-28,2025-12-05,852000,895000,5.05
012450,한화에어로스페이스,2026-06-08,2026-06-15,1006000,1084000,7.75
055550,신한지주,2026-03-10,2026-03-17,89200,91200,2.24
006400,삼성SDI,2025-12-29,2026-01-07,277500,270500,-2.52
006400,삼성SDI,2026-05-21,2026-05-29,616000,688000,11.69
042660,한화오션,2025-11-28,2025-12-05,107800,108500,0.65
042660,한화오션,2025-12-05,2025-12-12,108500,114100,5.16
042660,한화오션,2026-05-14,2026-05-21,120400,113600,-5.65
042660,한화오션,2026-05-21,2026-05-29,113600,123300,8.54
267260,HD현대일렉트릭,2025-11-21,2025-11-28,751000,775000,3.2
267260,HD현대일렉트릭,2026-05-29,2026-06-08,1053000,889000,-15.57
267260,HD현대일렉트릭,2026-06-08,2026-06-15,889000,1194000,34.31
010120,LS ELECTRIC,2026-05-29,2026-06-08,241500,208000,-13.87
068270,셀트리온,2026-03-17,2026-03-24,196352,190252,-3.11
035420,NAVER,2026-02-23,2026-03-03,255500,236000,-7.63
035420,NAVER,2026-04-07,2026-04-14,195900,201500,2.86
298040,효성중공업,2025-11-21,2025-11-28,1910000,1901000,-0.47
298040,효성중공업,2025-11-28,2025-12-05,1901000,2012000,5.84
298040,효성중공업,2026-05-29,2026-06-08,3685000,3196000,-13.27
086790,하나금융지주,2026-03-10,2026-03-17,109900,109900,0.0
009540,HD한국조선해양,2026-03-31,2026-04-07,344000,376000,9.3
005490,POSCO홀딩스,2026-05-29,2026-06-08,423500,359000,-15.23
005490,POSCO홀딩스,2026-06-08,2026-06-15,359000,395000,10.03
042700,한미반도체,2025-11-07,2025-11-14,127200,125600,-1.26
042700,한미반도체,2025-11-14,2025-11-21,125600,120100,-4.38
042700,한미반도체,2025-11-21,2025-11-28,120100,123600,2.91
042700,한미반도체,2026-03-31,2026-04-07,251000,253500,1.0
042700,한미반도체,2026-04-07,2026-04-14,253500,284000,12.03
006800,미래에셋증권,2025-11-21,2025-11-28,21058,21755,3.31
006800,미래에셋증권,2026-05-29,2026-06-08,61400,49750,-18.97
006800,미래에셋증권,2026-06-08,2026-06-15,49750,51600,3.72
011070,LG이노텍,2026-02-04,2026-02-11,247000,251000,1.62
010130,고려아연,2025-11-07,2025-11-14,1024000,1135000,10.84
010130,고려아연,2026-01-07,2026-01-14,1239000,1290000,4.12
010130,고려아연,2026-06-08,2026-06-15,1149000,1253000,9.05
015760,한국전력,2026-03-03,2026-03-10,50900,47600,-6.48
015760,한국전력,2026-03-17,2026-03-24,48200,46750,-3.01
015760,한국전력,2026-04-07,2026-04-14,39900,44350,11.15
015760,한국전력,2026-05-14,2026-05-21,39650,39400,-0.63
010140,삼성중공업,2025-11-21,2025-11-28,25350,24600,-2.96
051910,LG화학,2025-12-29,2026-01-07,338500,319500,-5.61
051910,LG화학,2026-01-07,2026-01-14,319500,330500,3.44
316140,우리금융지주,2026-03-10,2026-03-17,32100,32600,1.56
316140,우리금융지주,2026-03-17,2026-03-24,32600,32300,-0.92
316140,우리금융지주,2026-05-07,2026-05-14,33200,31800,-4.22
316140,우리금융지주,2026-05-14,2026-05-21,31800,30400,-4.4
316140,우리금융지주,2026-05-21,2026-05-29,30400,29700,-2.3
316140,우리금융지주,2026-05-29,2026-06-08,29700,28850,-2.86
064350,현대로템,2025-11-21,2025-11-28,182800,175700,-3.88
064350,현대로템,2025-11-28,2025-12-05,175700,182000,3.59
064350,현대로템,2026-03-31,2026-04-07,169500,211000,24.48
064350,현대로템,2026-05-21,2026-05-29,195500,200500,2.56
011200,HMM,2025-11-14,2025-11-21,19420,19150,-1.39
079550,LIG디펜스앤에어로스페이스,2025-11-14,2025-11-21,408000,402000,-1.47
079550,LIG디펜스앤에어로스페이스,2025-11-21,2025-11-28,402000,383000,-4.73
079550,LIG디펜스앤에어로스페이스,2025-12-05,2025-12-12,372500,383000,2.82
079550,LIG디펜스앤에어로스페이스,2026-02-04,2026-02-11,469000,457500,-2.45
307950,현대오토에버,2025-11-21,2025-11-28,186100,202000,8.54
138040,메리츠금융지주,2026-03-17,2026-03-24,111200,106100,-4.59
003670,포스코퓨처엠,2025-11-14,2025-11-21,209500,192500,-8.11
003670,포스코퓨처엠,2025-11-21,2025-11-28,192500,206500,7.27
003670,포스코퓨처엠,2026-01-07,2026-01-14,180000,188100,4.5
096770,SK이노베이션,2025-12-29,2026-01-07,103100,102000,-1.07
096770,SK이노베이션,2026-05-21,2026-05-29,118800,119200,0.34
096770,SK이노베이션,2026-06-08,2026-06-15,104600,112700,7.74
272210,한화시스템,2025-11-21,2025-11-28,48600,46200,-4.94
272210,한화시스템,2025-11-28,2025-12-05,46200,47200,2.16
272210,한화시스템,2025-12-05,2025-12-12,47200,53100,12.5
272210,한화시스템,2026-03-31,2026-04-07,114100,131700,15.43
272210,한화시스템,2026-05-07,2026-05-14,116700,116100,-0.51
272210,한화시스템,2026-05-14,2026-05-21,116100,103800,-10.59
024110,기업은행,2026-04-07,2026-04-14,21350,22400,4.92
024110,기업은행,2026-05-21,2026-05-29,20400,20200,-0.98
035720,카카오,2026-03-31,2026-04-07,45800,46400,1.31
035720,카카오,2026-05-07,2026-05-14,45250,45950,1.55
003550,LG,2025-11-28,2025-12-05,78800,85600,8.63
278470,에이피알,2025-12-29,2026-01-07,234500,219500,-6.4
000720,현대건설,2026-04-28,2026-05-07,167100,167400,0.18
000720,현대건설,2026-06-08,2026-06-15,116500,145000,24.46
047810,한국항공우주,2026-04-28,2026-05-07,168000,171800,2.26
047810,한국항공우주,2026-06-08,2026-06-15,125000,147600,18.08
030200,KT,2025-11-07,2025-11-14,48250,50100,3.83
030200,KT,2026-05-07,2026-05-14,59500,61600,3.53
030200,KT,2026-05-29,2026-06-08,52800,53900,2.08
030200,KT,2026-06-08,2026-06-15,53900,55400,2.78
071050,한국금융지주,2025-11-21,2025-11-28,153100,160400,4.77
006260,LS,2025-11-28,2025-12-05,178900,188500,5.37
010950,S-Oil,2026-05-21,2026-05-29,107300,107400,0.09
005940,NH투자증권,2026-05-29,2026-06-08,30200,29450,-2.48
259960,크래프톤,2025-10-31,2025-11-07,276000,258000,-6.52
259960,크래프톤,2025-11-07,2025-11-14,258000,270000,4.65
0126Z0,삼성에피스홀딩스,2026-03-18,2026-03-25,538000,540000,0.37
0126Z0,삼성에피스홀딩스,2026-05-08,2026-05-15,530000,507000,-4.34
0126Z0,삼성에피스홀딩스,2026-05-15,2026-05-22,507000,500000,-1.38
016360,삼성증권,2025-12-29,2026-01-07,76200,77300,1.44
323410,카카오뱅크,2026-03-17,2026-03-24,23950,23800,-0.63
443060,HD현대마린솔루션,2025-11-14,2025-11-21,214000,204000,-4.67
443060,HD현대마린솔루션,2025-11-21,2025-11-28,204000,186100,-8.77
443060,HD현대마린솔루션,2025-11-28,2025-12-05,186100,194900,4.73
047050,포스코인터내셔널,2025-12-29,2026-01-07,50400,48350,-4.07
047050,포스코인터내셔널,2026-01-07,2026-01-14,48350,55200,14.17
047050,포스코인터내셔널,2026-05-21,2026-05-29,67000,63800,-4.78
047050,포스코인터내셔널,2026-05-29,2026-06-08,63800,54800,-14.11
047050,포스코인터내셔널,2026-06-08,2026-06-15,54800,59900,9.31
352820,하이브,2025-11-21,2025-11-28,292000,299500,2.57
352820,하이브,2026-04-07,2026-04-14,256000,245500,-4.1
352820,하이브,2026-04-14,2026-04-21,245500,249000,1.43
352820,하이브,2026-04-21,2026-04-28,249000,248500,-0.2
352820,하이브,2026-06-08,2026-06-15,197400,218500,10.69
005830,DB손해보험,2025-10-24,2025-10-31,132200,126800,-4.08
005830,DB손해보험,2025-11-28,2025-12-05,124500,125200,0.56
005830,DB손해보험,2026-06-08,2026-06-15,136200,152400,11.89
047040,대우건설,2025-11-14,2025-11-21,3445,3455,0.29
047040,대우건설,2026-06-08,2026-06-15,20400,22900,12.25
007660,이수페타시스,2026-01-07,2026-01-14,109200,115700,5.95
007660,이수페타시스,2026-05-14,2026-05-21,132500,127800,-3.55
005387,현대차2우B,2025-11-21,2025-11-28,196800,194700,-1.07
005387,현대차2우B,2026-04-07,2026-04-14,235500,239500,1.7
064400,LG씨엔에스,2025-11-21,2025-11-28,57100,58000,1.58
064400,LG씨엔에스,2026-03-31,2026-04-07,55800,57100,2.33
003230,삼양식품,2025-10-24,2025-10-31,1282000,1348000,5.15
003230,삼양식품,2025-12-19,2025-12-29,1252000,1266000,1.12
003230,삼양식품,2026-03-10,2026-03-17,1030000,1082000,5.05
003230,삼양식품,2026-06-08,2026-06-15,1069000,1139000,6.55
161390,한국타이어앤테크놀로지,2026-03-17,2026-03-24,56300,56000,-0.53
