Code,종목명,매수일,매도일,매수가,매도가,수익률(%)
000660,SK하이닉스,2026-01-28,2026-02-04,841000,900000,7.02
005935,삼성전자우,2026-05-29,2026-06-08,202500,192500,-4.94
005380,현대차,2026-03-03,2026-03-10,595000,525000,-11.76
005380,현대차,2026-05-07,2026-05-14,572000,712000,24.48
373220,LG에너지솔루션,2025-10-17,2025-10-24,434000,492000,13.36
373220,LG에너지솔루션,2026-03-24,2026-03-31,392500,394500,0.51
373220,LG에너지솔루션,2026-05-29,2026-06-08,458000,388500,-15.17
028260,삼성물산,2026-01-07,2026-01-14,265000,283500,6.98
329180,HD현대중공업,2025-11-14,2025-11-21,586000,555000,-5.29
000270,기아,2025-12-05,2025-12-12,123600,125800,1.78
000270,기아,2026-01-07,2026-01-14,129300,143000,10.6
000270,기아,2026-03-03,2026-03-10,182300,161000,-11.68
000270,기아,2026-05-14,2026-05-21,178100,167900,-5.73
034020,두산에너빌리티,2026-01-14,2026-01-21,89600,91300,1.9
034020,두산에너빌리티,2026-02-04,2026-02-11,96500,95500,-1.04
012450,한화에어로스페이스,2025-12-29,2026-01-07,949000,1010000,6.43
012450,한화에어로스페이스,2026-03-03,2026-03-10,1432000,1455000,1.61
012330,현대모비스,2026-01-07,2026-01-14,392500,450000,14.65
006400,삼성SDI,2026-05-29,2026-06-08,688000,503000,-26.89
034730,SK,2025-11-28,2025-12-05,265500,264000,-0.56
034730,SK,2026-01-07,2026-01-14,282000,295500,4.79
267260,HD현대일렉트릭,2026-01-07,2026-01-14,821000,922000,12.3
035420,NAVER,2026-01-07,2026-01-14,252500,259500,2.77
035420,NAVER,2026-01-28,2026-02-04,277500,264500,-4.68
035420,NAVER,2026-05-29,2026-06-08,234000,279000,19.23
066570,LG전자,2025-12-05,2025-12-12,99700,96400,-3.31
042700,한미반도체,2025-12-29,2026-01-07,130400,186500,43.02
010120,LS ELECTRIC,2026-01-14,2026-01-21,107800,101200,-6.12
010120,LS ELECTRIC,2026-04-14,2026-04-21,185600,184700,-0.48
086790,하나금융지주,2025-11-07,2025-11-14,92000,94400,2.61
298040,효성중공업,2025-12-05,2025-12-12,2012000,1962000,-2.49
298040,효성중공업,2026-01-14,2026-01-21,2125000,2319000,9.13
298040,효성중공업,2026-04-14,2026-04-21,3042000,3002000,-1.31
000150,두산,2025-10-17,2025-10-24,697000,801000,14.92
000150,두산,2026-01-14,2026-01-21,850000,825000,-2.94
000150,두산,2026-05-29,2026-06-08,1972000,1578000,-19.98
005490,POSCO홀딩스,2025-10-17,2025-10-24,293000,325500,11.09
